,Date,DO_Areation_1,PH_Areation_1,ORP_Areation_1,MLSS_Areation_1,DO_Areation_2,PH_Areation_2,ORP_Areation_2,MLSS_Areation_2,PH_Anoxic_1,ORP_Anoxic_1,MLSS_Anoxic_1,PH_Anoxic_2,ORP_Anoxic_2,MLSS_Anoxic_2,TOC_in_total,TOC_out
25,2013/7/26,6.7,6.2,436.0,6730.0,5.1,6.3,218.0,6805.0,6.9,500.0,6225.0,8.3,500.0,6555.0,85.0,5.6
26,2013/7/27,6.7,6.2,434.0,6710.0,5.2,6.3,203.0,6170.0,6.7,500.0,6240.0,8.5,500.0,6180.0,82.0,5.7
27,2013/7/28,7.0,6.2,434.0,6880.0,5.7,6.4,195.0,6180.0,6.8,500.0,6080.0,8.3,500.0,6110.0,75.0,5.7
28,2013/7/29,6.9,6.3,429.0,6868.0,5.7,6.4,190.0,6689.0,6.8,500.0,6125.0,8.4,500.0,6170.0,77.0,5.5
29,2013/7/30,7.5,6.2,433.0,6785.0,5.6,6.4,196.0,6440.0,6.7,500.0,6173.0,8.5,500.0,6111.0,78.0,5.2
30,2013/7/31,7.5,6.4,420.0,6800.0,6.2,6.5,171.0,6300.0,6.9,497.0,6010.0,8.9,500.0,6030.0,88.0,5.6
31,2013/8/1,7.2,6.2,427.0,6525.0,5.9,6.4,186.0,6530.0,6.8,498.0,6170.0,8.8,500.0,6145.0,87.0,6.4
32,2013/8/2,7.2,6.3,422.0,6240.0,5.9,6.5,173.0,6478.0,6.9,500.0,6036.0,8.8,500.0,6275.0,91.0,5.6
33,2013/8/3,6.8,6.3,424.0,6660.0,5.8,6.4,174.0,6450.0,6.8,495.0,5950.0,8.7,500.0,5950.0,83.0,5.4
34,2013/8/4,7.0,6.3,423.0,6330.0,5.7,6.4,167.0,6210.0,7.1,500.0,5645.0,8.7,500.0,5590.0,73.0,5.7
35,2013/8/5,7.0,6.3,412.0,6430.0,5.7,6.5,153.0,6530.0,7.2,500.0,5820.0,8.6,500.0,5720.0,85.0,5.9
36,2013/8/6,7.2,6.3,413.0,6260.0,5.9,6.4,166.0,6700.0,7.1,500.0,5310.0,8.6,500.0,5612.0,87.0,6.8
37,2013/8/7,7.0,6.2,411.0,6197.0,5.7,6.3,166.0,6237.0,7.0,496.0,5357.0,8.7,500.0,5522.0,88.0,6.6
38,2013/8/8,6.5,6.1,409.0,5710.0,5.3,6.2,168.0,6180.0,6.8,491.0,5510.0,9.0,500.0,5220.0,78.0,6.1
39,2013/8/9,6.4,6.3,405.0,6150.0,5.0,6.4,141.0,6400.0,6.8,500.0,5850.0,9.3,500.0,5790.0,78.0,6.1
40,2013/8/10,6.5,6.3,403.0,6180.0,5.1,6.4,138.0,6605.0,6.8,499.0,5880.0,8.8,500.0,5820.0,83.0,6.3
41,2013/8/11,6.4,6.2,396.0,5950.0,4.9,6.4,134.0,6535.0,6.9,500.0,6085.0,8.1,500.0,5775.0,73.0,6.4
42,2013/8/12,6.3,6.1,396.0,5850.0,5.2,6.3,146.0,6125.0,7.0,500.0,5960.0,8.7,500.0,5570.0,86.0,6.2
43,2013/8/13,5.9,6.1,396.0,6125.0,5.0,6.3,146.0,6540.0,6.8,500.0,6050.0,6.3,500.0,5750.0,83.0,6.3
44,2013/8/14,6.1,6.1,404.0,6020.0,4.9,6.2,155.0,6330.0,6.7,500.0,6100.0,8.7,500.0,5740.0,88.0,6.0
45,2013/8/15,5.4,6.1,397.0,6005.0,5.1,6.3,147.0,6220.0,6.8,500.0,6080.0,8.7,500.0,5770.0,76.0,6.0
46,2013/8/16,4.6,6.1,396.0,6300.0,4.0,6.2,137.0,6290.0,6.7,500.0,6270.0,8.9,500.0,5940.0,92.0,5.5
47,2013/8/17,5.6,6.1,400.0,6290.0,4.5,6.3,140.0,6350.0,6.8,500.0,6150.0,9.9,500.0,5750.0,89.0,6.1
48,2013/8/18,5.5,6.2,401.0,6130.0,4.1,6.4,140.0,6230.0,6.9,500.0,6131.0,9.4,500.0,5866.0,82.0,6.3
49,2013/8/19,4.9,6.1,386.0,6410.0,3.8,6.3,123.0,6980.0,6.9,500.0,6355.0,10.0,500.0,6100.0,93.0,6.2
50,2013/8/20,4.4,6.1,384.0,6360.0,3.5,6.3,118.0,6390.0,6.9,500.0,6530.0,9.7,500.0,6130.0,79.0,5.6
51,2013/8/21,5.4,6.2,390.0,6320.0,4.1,6.4,120.0,6410.0,7.0,500.0,6320.0,10.1,500.0,5880.0,83.0,5.4
52,2013/8/22,4.5,6.3,377.0,6301.0,3.6,6.5,102.0,6345.0,7.0,500.0,6340.0,10.0,500.0,5910.0,84.0,5.9
53,2013/8/23,4.2,6.1,392.0,6245.0,5.3,6.3,261.0,6635.0,6.9,500.0,6325.0,9.8,500.0,5975.0,71.0,6.0
54,2013/8/24,5.9,6.3,399.0,6260.0,5.1,6.4,202.0,6320.0,7.0,500.0,6260.0,11.0,500.0,6000.0,82.0,6.4
55,2013/8/25,5.4,6.2,393.0,6168.0,4.6,6.3,179.0,6368.0,7.0,500.0,6295.0,10.6,500.0,5999.0,87.0,6.2
56,2013/8/26,5.3,6.2,389.0,6261.0,4.9,6.4,169.0,6348.0,7.0,500.0,6395.0,9.0,500.0,6098.0,83.0,5.9
57,2013/8/27,4.2,6.2,380.0,6262.0,5.1,6.4,191.0,6367.0,7.0,500.0,6435.0,10.0,500.0,5950.0,82.0,5.6
58,2013/8/28,3.8,6.2,380.0,6265.0,4.8,6.4,162.0,6580.0,7.1,500.0,6405.0,8.5,500.0,5955.0,83.0,5.9
59,2013/8/29,3.9,6.1,386.0,6280.0,4.8,6.3,162.0,6235.0,7.0,500.0,6430.0,8.5,500.0,5865.0,83.0,5.5
60,2013/8/30,4.4,6.2,388.0,6257.0,4.8,6.4,155.0,6224.0,6.9,500.0,6375.0,8.7,500.0,5730.0,79.0,5.9
61,2013/8/31,4.9,6.2,409.0,6187.0,5.3,6.4,163.0,6197.0,7.0,500.0,6345.0,8.5,500.0,5830.0,67.0,5.6
62,2013/9/1,3.8,6.1,381.0,6220.0,5.0,6.3,155.0,6350.0,7.1,500.0,6480.0,9.1,500.0,5850.0,81.0,6.0
63,2013/9/2,2.3,6.2,359.0,6150.0,5.4,6.3,368.0,6300.0,7.1,500.0,6385.0,7.7,500.0,5780.0,78.0,5.9
64,2013/9/3,3.7,6.1,370.0,6165.0,5.5,6.2,336.0,6371.0,7.0,500.0,6360.0,8.9,500.0,5954.0,73.0,5.9
65,2013/9/4,5.0,6.3,425.0,6150.0,6.2,6.4,309.0,6360.0,7.2,500.0,6430.0,8.3,500.0,5905.0,59.0,5.7
66,2013/9/5,6.6,6.2,441.0,6160.0,6.6,6.4,311.0,6366.0,7.2,500.0,6305.0,8.8,500.0,5955.0,47.0,5.9
67,2013/9/6,4.8,6.3,406.0,6120.0,6.0,6.4,280.0,6210.0,7.1,500.0,6380.0,9.0,500.0,5820.0,58.0,5.7
68,2013/9/7,4.3,6.4,402.0,5918.0,5.9,6.5,257.0,6109.0,7.2,500.0,6455.0,9.8,500.0,5805.0,61.0,5.7
69,2013/9/8,5.0,6.3,417.0,5960.0,5.9,6.4,256.0,6490.0,7.2,500.0,6645.0,8.9,500.0,5980.0,79.0,5.6
70,2013/9/9,4.8,6.3,403.0,6020.0,6.0,6.4,252.0,6380.0,7.2,500.0,6630.0,9.2,500.0,5950.0,83.0,5.5
71,2013/9/10,3.7,6.3,411.0,6120.0,5.5,6.3,330.0,6250.0,7.2,500.0,6650.0,9.0,500.0,5970.0,89.0,5.6
72,2013/9/11,3.4,6.2,411.0,6190.0,5.5,6.3,328.0,6262.0,7.2,500.0,6540.0,9.7,500.0,5760.0,89.0,5.6
73,2013/9/12,3.6,6.2,403.0,6052.0,5.6,6.4,303.0,6225.0,7.2,500.0,6640.0,13.3,500.0,5875.0,83.0,7.9
74,2013/9/13,2.5,6.2,405.0,6160.0,5.6,6.3,310.0,6210.0,7.2,500.0,6680.0,8.2,500.0,5960.0,84.0,4.7
75,2013/9/14,3.7,6.3,410.0,6110.0,5.5,6.4,295.0,6240.0,7.2,500.0,6650.0,8.5,500.0,5880.0,98.0,5.6
76,2013/9/15,3.9,6.3,348.0,6008.0,4.5,6.4,246.0,6309.0,7.3,500.0,6925.0,8.4,500.0,6105.0,95.0,5.4
77,2013/9/16,4.4,6.3,345.0,6215.0,4.6,6.4,229.0,6075.0,7.3,500.0,6930.0,8.6,500.0,6080.0,73.0,4.6
78,2013/9/17,4.3,6.3,338.0,6211.0,4.4,6.3,220.0,6210.0,7.3,500.0,6850.0,8.5,500.0,6070.0,92.0,5.5
79,2013/9/18,4.6,6.4,334.0,6110.0,4.3,6.4,230.0,6180.0,7.3,500.0,6970.0,8.6,500.0,6090.0,84.0,5.4
80,2013/9/19,4.4,6.4,322.0,6137.0,3.9,6.5,163.0,6290.0,7.2,500.0,7190.0,8.5,500.0,6175.0,86.0,5.3
81,2013/9/20,4.3,6.5,310.0,6078.0,3.5,6.5,150.0,6385.0,7.3,500.0,7230.0,8.6,500.0,6245.0,92.0,5.5
82,2013/9/21,4.3,6.5,310.0,6133.0,4.5,6.5,162.0,6230.0,7.2,500.0,7245.0,8.6,500.0,6210.0,86.0,5.1
83,2013/9/22,4.4,6.5,311.0,6210.0,3.8,6.6,154.0,6250.0,7.2,500.0,7350.0,8.7,500.0,6155.0,82.0,5.0
84,2013/9/23,5.2,6.6,296.0,6290.0,4.9,6.8,156.0,6155.0,7.3,500.0,7387.0,8.8,500.0,6240.0,83.0,5.6
85,2013/9/24,5.1,6.6,295.0,6230.0,5.1,6.7,152.0,6205.0,7.2,500.0,7350.0,8.8,500.0,6454.0,75.0,5.7
86,2013/9/25,4.6,6.5,290.0,6040.0,4.9,6.7,156.0,6230.0,7.3,500.0,7250.0,8.8,500.0,6250.0,78.0,5.4
87,2013/9/26,4.3,6.5,311.0,6120.0,5.2,6.6,250.0,6280.0,7.2,500.0,7260.0,8.2,500.0,6260.0,80.0,5.2
88,2013/9/27,4.4,6.4,303.0,6093.0,5.2,6.5,223.0,6210.0,7.1,500.0,7270.0,7.8,500.0,6165.0,76.0,5.4
89,2013/9/28,4.7,6.4,309.0,6090.0,5.1,6.5,211.0,6240.0,7.0,500.0,7200.0,7.1,500.0,6155.0,72.0,5.0
90,2013/9/29,4.0,6.4,290.0,6010.0,3.8,6.6,183.0,6150.0,7.3,500.0,7280.0,8.0,500.0,6105.0,74.0,5.5
91,2013/9/30,3.3,6.5,266.0,6060.0,3.5,6.6,168.0,6110.0,7.2,500.0,7040.0,7.5,500.0,6030.0,76.0,5.8
92,2013/10/1,3.6,6.4,281.0,6040.0,4.1,6.5,170.0,6090.0,7.1,500.0,7000.0,7.1,500.0,6190.0,68.0,5.2
93,2013/10/2,4.0,6.4,284.0,5903.0,4.1,6.5,167.0,6125.0,7.1,500.0,7100.0,6.9,500.0,6135.0,76.0,5.3
94,2013/10/3,1.9,6.4,257.0,5800.0,4.1,6.5,196.0,6100.0,7.1,500.0,7270.0,7.4,500.0,6350.0,82.0,5.5
95,2013/10/4,3.8,6.5,270.0,5590.0,4.5,6.6,185.0,6100.0,7.2,500.0,7165.0,7.1,500.0,6200.0,78.0,5.5
96,2013/10/5,3.6,6.5,271.0,5430.0,4.8,6.6,184.0,6135.0,7.2,500.0,7185.0,7.4,500.0,6360.0,70.0,5.0
97,2013/10/6,3.3,6.4,263.0,5310.0,4.1,6.6,174.0,6130.0,7.3,500.0,7121.0,7.5,500.0,6275.0,75.0,5.0
98,2013/10/7,3.5,6.3,267.0,5240.0,4.0,6.5,167.0,6150.0,7.2,500.0,6975.0,7.2,500.0,6045.0,62.0,5.7
99,2013/10/8,2.7,6.5,238.0,5110.0,3.2,6.6,149.0,6050.0,7.2,500.0,7115.0,7.0,500.0,6010.0,92.0,5.4
100,2013/10/9,2.4,6.5,241.0,5410.0,4.8,6.7,183.0,6170.0,7.2,500.0,7410.0,6.7,500.0,6310.0,80.0,4.6
101,2013/10/10,3.2,6.5,264.0,5565.0,4.9,6.7,181.0,6155.0,7.2,500.0,7412.0,6.9,500.0,6261.0,86.0,5.3
102,2013/10/11,3.3,6.6,236.0,5650.0,4.3,6.7,172.0,6180.0,7.2,500.0,7545.0,6.8,500.0,6300.0,80.0,5.6
103,2013/10/12,3.5,6.4,256.0,5460.0,4.6,6.6,168.0,6030.0,7.2,500.0,7370.0,6.3,500.0,5950.0,98.0,5.7
104,2013/10/13,3.5,6.5,242.0,5595.0,4.5,6.7,158.0,6060.0,7.2,500.0,7470.0,6.5,500.0,5820.0,82.0,5.4
105,2013/10/14,3.5,6.6,249.0,5540.0,4.5,6.7,152.0,6180.0,7.3,500.0,7460.0,6.6,500.0,5770.0,81.0,5.1
106,2013/10/15,2.7,6.5,230.0,5680.0,3.8,6.7,144.0,6100.0,7.3,500.0,7650.0,6.8,500.0,5770.0,75.0,5.1
107,2013/10/16,3.1,6.5,242.0,5550.0,4.0,6.6,142.0,5900.0,7.4,500.0,7580.0,7.5,500.0,5520.0,73.0,5.0
108,2013/10/17,3.1,6.6,245.0,5670.0,4.0,6.6,137.0,6097.0,7.3,500.0,7660.0,7.0,500.0,5515.0,70.0,5.7
109,2013/10/18,3.0,6.5,257.0,5705.0,4.7,6.6,164.0,5915.0,7.2,500.0,7851.0,6.8,500.0,5730.0,77.0,6.0
110,2013/10/19,1.4,6.4,193.0,5570.0,4.4,6.5,223.0,6250.0,7.1,500.0,7940.0,7.1,500.0,5640.0,71.0,5.9
111,2013/10/20,2.9,6.4,260.0,5770.0,3.8,6.5,200.0,6180.0,7.1,500.0,7630.0,7.0,500.0,5555.0,78.0,5.0
112,2013/10/21,1.4,6.4,175.0,5790.0,2.6,6.5,159.0,6180.0,7.1,500.0,7780.0,6.8,500.0,5520.0,67.0,5.2
113,2013/10/22,2.9,6.5,264.0,6420.0,4.9,6.6,170.0,6280.0,7.2,500.0,7660.0,7.3,500.0,5535.0,68.0,5.5
114,2013/10/23,1.4,6.5,205.0,6550.0,4.8,6.5,208.0,6300.0,7.1,500.0,8020.0,7.2,500.0,5310.0,69.0,5.4
115,2013/10/24,1.8,6.5,234.0,5900.0,3.7,6.6,185.0,5880.0,7.2,500.0,8280.0,7.7,500.0,5140.0,83.0,5.6
116,2013/10/25,3.2,6.6,263.0,5910.0,3.9,6.7,173.0,5550.0,7.2,500.0,8355.0,7.9,500.0,5040.0,69.0,5.6
117,2013/10/26,4.2,6.5,283.0,5890.0,4.0,6.6,170.0,5680.0,7.1,500.0,8510.0,7.8,500.0,4895.0,68.0,5.1
118,2013/10/27,2.8,6.5,263.0,5840.0,3.1,6.6,134.0,5770.0,7.2,500.0,8520.0,8.0,500.0,4910.0,86.0,5.3
119,2013/10/28,4.5,6.5,287.0,5590.0,4.3,6.6,158.0,5600.0,7.2,500.0,8370.0,7.6,500.0,4660.0,83.0,5.9
120,2013/10/29,4.4,6.5,286.0,5560.0,4.2,6.2,153.0,5760.0,7.2,500.0,8640.0,7.8,500.0,4685.0,91.0,5.6
121,2013/10/30,4.5,6.4,292.0,5395.0,4.5,6.5,153.0,5470.0,7.1,500.0,8740.0,7.2,500.0,4665.0,77.0,5.1
122,2013/10/31,6.7,6.4,340.0,5700.0,6.3,6.5,153.0,5250.0,7.0,500.0,8930.0,6.7,500.0,4885.0,57.0,5.6
123,2013/11/1,4.7,6.3,316.0,5250.0,4.9,6.4,153.0,5090.0,7.1,500.0,8720.0,6.6,500.0,4430.0,66.0,5.1
124,2013/11/2,4.6,6.3,312.0,5529.0,4.7,6.4,148.0,5075.0,7.1,500.0,8870.0,6.7,500.0,4480.0,54.0,5.4
125,2013/11/3,4.4,6.3,299.0,5860.0,4.4,6.4,139.0,5130.0,7.2,500.0,8795.0,6.5,500.0,4420.0,54.0,5.6
126,2013/11/4,4.2,6.4,291.0,5290.0,4.4,6.4,145.0,5320.0,7.2,500.0,8620.0,6.1,500.0,4065.0,78.0,5.7
127,2013/11/5,4.0,6.3,289.0,5370.0,4.0,6.3,132.0,5530.0,7.1,500.0,8760.0,6.4,500.0,4210.0,67.0,5.4
128,2013/11/6,4.7,6.2,253.0,5240.0,4.4,6.3,126.0,5505.0,7.1,500.0,8700.0,6.5,500.0,4150.0,86.0,5.8
129,2013/11/7,5.2,6.3,354.0,5195.0,5.0,6.4,153.0,5028.0,7.2,231.0,4010.0,6.6,500.0,4149.0,76.0,5.9
130,2013/11/8,3.6,6.2,290.0,5285.0,3.6,6.3,128.0,4985.0,7.1,247.0,4255.0,6.6,500.0,4120.0,76.0,5.5
131,2013/11/9,3.5,6.1,274.0,5150.0,3.5,6.2,136.0,4845.0,7.0,191.0,4185.0,6.6,500.0,4175.0,76.0,5.9
132,2013/11/10,3.9,6.1,286.0,5220.0,4.0,6.2,138.0,4975.0,7.1,256.0,4170.0,7.1,500.0,4075.0,108.0,5.6
133,2013/11/11,4.9,6.2,337.0,5130.0,4.9,6.3,136.0,4820.0,7.2,277.0,4170.0,7.0,500.0,4010.0,70.0,5.7
134,2013/11/12,4.4,6.2,332.0,5050.0,4.2,6.3,128.0,4280.0,7.2,300.0,4150.0,6.9,500.0,4070.0,68.0,5.7
135,2013/11/13,4.1,6.1,301.0,5115.0,3.9,6.2,131.0,4850.0,7.1,318.0,4195.0,6.6,500.0,4060.0,67.0,5.3
136,2013/11/14,3.5,6.1,300.0,5140.0,3.2,6.2,125.0,4655.0,7.1,374.0,4200.0,6.8,500.0,3643.0,71.0,5.0
137,2013/11/15,3.6,6.2,364.0,5030.0,2.9,6.2,120.0,4460.0,7.0,330.0,4235.0,6.6,500.0,3770.0,69.0,5.1
138,2013/11/16,3.2,6.1,295.0,5230.0,3.1,6.2,117.0,4880.0,7.2,391.0,4235.0,6.9,500.0,3550.0,73.0,4.9
139,2013/11/17,3.1,6.2,297.0,5010.0,3.0,6.2,118.0,4850.0,7.2,387.0,4185.0,6.7,500.0,3570.0,74.0,4.6
140,2013/11/18,3.5,6.3,337.0,5260.0,3.0,6.3,93.0,5026.0,7.3,391.0,4370.0,6.8,500.0,3610.0,69.0,4.3
141,2013/11/19,4.5,6.3,374.0,5390.0,3.3,6.3,111.0,4880.0,7.1,348.0,4375.0,7.0,500.0,3620.0,62.0,4.3
142,2013/11/20,4.1,6.1,331.0,5360.0,3.0,6.2,121.0,5020.0,7.1,393.0,4205.0,7.1,500.0,3560.0,65.0,4.9
143,2013/11/21,3.2,6.0,302.0,5420.0,3.0,6.1,112.0,5022.0,7.0,362.0,4220.0,6.9,500.0,3550.0,73.0,4.5
144,2013/11/22,3.8,6.0,331.0,5315.0,2.7,6.0,119.0,4980.0,6.9,306.0,4125.0,6.8,500.0,3930.0,69.0,5.0
145,2013/11/23,3.9,6.2,299.0,5430.0,3.2,6.3,115.0,5315.0,7.2,302.0,4235.0,7.0,500.0,3950.0,64.0,5.5
146,2013/11/24,4.1,6.3,318.0,5170.0,3.3,6.3,105.0,5410.0,7.3,326.0,4295.0,7.2,500.0,3925.0,73.0,5.3
147,2013/11/25,4.1,6.3,312.0,5230.0,3.3,6.3,115.0,5320.0,7.3,331.0,4325.0,7.2,500.0,3745.0,69.0,5.6
148,2013/11/26,3.9,6.2,327.0,5125.0,3.1,6.3,116.0,5235.0,7.3,341.0,4370.0,7.3,500.0,4006.0,69.0,5.6
149,2013/11/27,3.5,6.2,309.0,5540.0,3.3,6.2,125.0,5205.0,7.2,432.0,4260.0,7.1,500.0,4390.0,73.0,5.7
150,2013/11/28,3.0,6.2,306.0,5210.0,2.7,6.3,106.0,5410.0,7.3,388.0,4490.0,7.3,500.0,4360.0,74.0,5.7
151,2013/11/29,3.1,6.2,263.0,5520.0,2.3,6.2,98.0,5320.0,7.3,374.0,4500.0,7.2,500.0,4160.0,72.0,5.5
152,2013/11/30,3.2,6.2,291.0,5310.0,2.4,6.3,105.0,5625.0,7.3,363.0,4420.0,7.1,500.0,4250.0,77.0,5.2
153,2013/12/1,2.8,6.2,257.0,5605.0,2.4,6.2,100.0,5665.0,7.3,453.0,4365.0,7.2,500.0,4130.0,78.0,5.8
154,2013/12/2,3.7,6.2,298.0,5680.0,3.0,6.2,108.0,5700.0,7.3,459.0,4335.0,7.3,500.0,4050.0,68.0,5.2
155,2013/12/3,6.5,6.2,383.0,5730.0,6.1,6.3,128.0,5680.0,7.4,196.0,4350.0,6.9,500.0,4410.0,62.0,4.6
156,2013/12/4,4.3,6.1,327.0,5628.0,4.3,6.1,120.0,5862.0,7.3,343.0,4270.0,6.7,500.0,4295.0,69.0,5.7
157,2013/12/5,3.7,6.1,298.0,5725.0,3.5,6.1,110.0,6010.0,7.2,399.0,4345.0,6.8,500.0,4330.0,75.0,6.2
158,2013/12/6,2.1,6.0,234.0,5800.0,1.7,6.1,101.0,5700.0,7.1,446.0,4550.0,6.8,500.0,4410.0,77.0,6.1
159,2013/12/7,2.0,6.0,202.0,5950.0,1.7,6.0,92.0,5730.0,7.0,444.0,4430.0,6.7,500.0,4430.0,66.0,6.0
160,2013/12/8,2.3,6.1,209.0,5930.0,2.7,6.0,101.0,5695.0,7.1,465.0,4440.0,6.8,500.0,4510.0,68.0,6.2
161,2013/12/9,3.5,6.3,241.0,5817.0,3.5,6.3,113.0,5738.0,7.3,482.0,4425.0,7.0,500.0,4536.0,61.0,5.4
162,2013/12/10,2.4,6.0,208.0,5880.0,3.0,6.0,115.0,5560.0,7.2,491.0,4485.0,6.8,500.0,4700.0,55.0,5.5
163,2013/12/11,1.9,6.0,189.0,5920.0,2.3,6.0,105.0,5910.0,7.1,483.0,4480.0,6.6,500.0,4695.0,51.0,5.6
164,2013/12/12,2.9,6.0,208.0,5986.0,2.3,6.0,111.0,5735.0,7.2,478.0,4445.0,6.8,500.0,4785.0,60.0,5.3
165,2013/12/13,3.0,6.0,226.0,5890.0,3.0,6.1,113.0,5960.0,7.2,482.0,4330.0,6.9,500.0,4610.0,75.0,5.2
166,2013/12/14,1.9,6.0,173.0,5800.0,1.6,6.0,92.0,5500.0,7.3,493.0,4385.0,6.9,500.0,4540.0,88.0,5.6
167,2013/12/15,1.9,6.2,166.0,5730.0,2.5,6.2,98.0,5850.0,7.4,499.0,4445.0,6.8,500.0,4670.0,76.0,6.3
168,2013/12/16,2.0,6.0,187.0,5900.0,2.9,6.0,111.0,5808.0,7.3,467.0,4570.0,6.5,500.0,5000.0,77.0,5.9
169,2013/12/17,2.6,6.1,190.0,5915.0,1.6,6.1,94.0,5565.0,7.4,492.0,4480.0,7.0,500.0,4915.0,75.0,5.7
170,2013/12/18,4.8,6.2,249.0,5515.0,4.0,6.2,113.0,5660.0,7.8,482.0,4390.0,7.4,500.0,5625.0,65.0,4.7
171,2013/12/19,2.1,6.2,163.0,5780.0,1.9,6.2,80.0,5650.0,7.7,477.0,4745.0,6.9,500.0,6160.0,74.0,5.0
172,2013/12/20,3.5,6.2,228.0,5785.0,2.5,6.1,80.0,5630.0,7.5,474.0,4690.0,6.6,500.0,6535.0,71.0,5.6
173,2013/12/21,4.2,6.2,250.0,5744.0,2.5,6.2,96.0,5570.0,7.6,479.0,4930.0,6.9,500.0,6930.0,75.0,5.4
174,2013/12/22,3.5,6.2,220.0,6475.0,1.8,6.1,78.0,6365.0,7.7,490.0,4775.0,6.6,500.0,7570.0,75.0,5.4
175,2013/12/23,3.5,6.2,216.0,5940.0,1.8,6.1,84.0,6350.0,7.8,492.0,4695.0,6.4,500.0,7800.0,67.0,5.5
176,2013/12/24,4.2,6.3,270.0,5760.0,2.0,6.2,92.0,6133.0,7.8,500.0,4845.0,6.9,500.0,5920.0,63.0,5.5
