,C10 14�J�B��02�B��q�y�ʤ���,C10 14�J�B��02�]�o��1�ͪ�ū�,C10 14�J�B��02�N����2�ͪ�ū�,C10 14�J �B���N�o��ŮtPID PV��,CR1 C/T To 14�J�B���N�o���503,L8BH L70 Outside Air Enthalpy
2020/5/16 04:20,59.45,1.98,1.31,6.03,28.95,62.71
2020/5/16 04:30,59.35,1.98,1.31,5.93,28.95,62.4
2020/5/16 04:40,58.95,1.98,1.31,5.93,28.95,61.77
2020/5/16 04:50,58.7,1.98,1.31,5.93,28.95,61.44
2020/5/16 05:00,58.15,1.98,1.31,5.93,28.95,61.44
2020/5/16 05:10,57.3,1.98,1.31,5.71,28.95,61.06
2020/5/16 05:20,57.5,1.98,1.31,5.92,29.07,61.19
2020/5/16 05:30,57.45,1.98,1.31,6.03,29.07,61.4
2020/5/16 05:40,57.65,1.98,1.31,6.03,28.96,61.44
2020/5/16 05:50,57.7,1.98,1.31,6.03,28.96,60.94
2020/5/16 06:00,57.69,1.98,1.31,6.03,28.96,61.62
2020/5/16 06:10,57.79,1.98,1.31,6.03,28.96,62.01
2020/5/16 06:20,57.69,1.98,1.31,6.03,28.96,63.02
2020/5/16 06:30,57.7,1.98,1.31,6.03,28.86,64.62
2020/5/16 06:40,58.15,1.98,1.31,5.92,28.86,64.55
2020/5/16 06:50,58.55,1.98,1.31,6.02,28.96,64.79
2020/5/16 07:00,58.75,1.98,1.31,6.02,29.07,65.26
2020/5/16 07:10,59.1,1.98,1.31,6.12,29.07,65.93
2020/5/16 07:20,59.7,1.98,1.31,6,29.17,66.79
2020/5/16 07:30,60,1.98,1.31,6.11,29.17,67.04
2020/5/16 07:40,60.75,1.98,1.31,6.11,29.17,69.78
2020/5/16 07:50,61.7,1.98,1.31,6,29.28,70.48
2020/5/16 08:00,61.31,1.98,1.31,6.21,28.96,70.27
2020/5/16 08:10,61.55,1.98,1.31,5.98,28.96,72.1
2020/5/16 08:20,61.9,1.98,1.31,5.98,29.07,72.4
2020/5/16 08:30,61.55,1.98,1.31,5.86,28.96,72.88
2020/5/16 08:40,61.95,1.98,1.31,5.96,29.17,73.71
2020/5/16 08:50,62.35,1.98,1.31,6.08,29.18,75.44
2020/5/16 09:00,62.9,1.98,1.31,6.19,29.17,76.78
2020/5/16 09:10,63.2,1.98,1.42,6.1,29.07,76.91
2020/5/16 09:20,64.45,1.98,1.42,5.87,29.28,76.64
2020/5/16 09:30,64.1,1.98,1.42,6.18,29.17,77.57
2020/5/16 09:40,64.06,1.98,1.42,5.95,29.15,77.87
2020/5/16 09:50,64.06,1.98,1.42,6.06,29.15,78.52
2020/5/16 10:00,64.05,1.98,1.42,6.06,29.15,79.48
2020/5/16 10:10,64.3,1.98,1.42,6.07,29.04,78.45
2020/5/16 10:20,64.49,1.98,1.42,6.07,29.04,78.26
2020/5/16 10:30,64.7,1.98,1.42,5.97,29.14,78.24
2020/5/16 10:40,64.5,2.08,1.42,5.97,29.14,78.62
2020/5/16 10:50,65.05,2.08,1.42,5.87,29.24,78.86
2020/5/16 11:00,65.06,2.08,1.42,5.98,29.24,78.92
2020/5/16 11:10,65.35,2.08,1.42,6.08,29.24,77.91
2020/5/16 11:20,65.2,2.08,1.53,5.97,29.14,77.79
2020/5/16 11:30,65,2.08,1.53,5.97,29.14,77.71
2020/5/16 11:40,65.4,2.08,1.53,5.97,29.14,76.85
2020/5/16 11:50,65.7,2.08,1.53,5.97,29.04,76.54
2020/5/16 12:00,65.49,2.08,1.53,6.09,29.04,75.58
2020/5/16 12:10,65.3,2.08,1.53,6.09,28.94,75.15
2020/5/16 12:20,64.85,2.08,1.53,5.99,28.82,74.67
2020/5/16 12:30,64.45,2.08,1.53,5.89,29.02,74.51
2020/5/16 12:40,63.95,2.08,1.53,5.99,28.92,74.6
2020/5/16 12:50,63.3,2.08,1.53,5.89,28.82,74.05
2020/5/16 13:00,63.05,2.08,1.42,5.89,28.92,74.15
2020/5/16 13:10,63.05,2.08,1.42,5.89,28.92,73.49
2020/5/16 13:20,62.9,2.08,1.42,6,28.82,73.36
2020/5/16 13:30,64,2.08,1.42,5.88,29.02,74.19
2020/5/16 13:40,64.81,2.08,1.42,6.1,29.02,73.47
2020/5/16 13:50,65.2,2.08,1.52,6.08,29.02,72.95
2020/5/16 14:00,64.85,2.08,1.52,6.07,29.02,73.17
2020/5/16 14:10,64.5,2.08,1.52,5.95,29.02,72.72
2020/5/16 14:20,64.35,2.08,1.52,6.07,29.02,72.68
2020/5/16 14:30,64,2.08,1.52,5.85,28.99,72.92
2020/5/16 14:40,63.79,2.08,1.52,5.85,29.09,73.32
2020/5/16 14:50,63.5,2.08,1.52,5.95,29.09,74.21
2020/5/16 15:00,63.4,2.08,1.52,5.95,28.99,74.49
2020/5/16 15:10,63.45,2.08,1.42,6.03,29.09,73.94
2020/5/16 15:20,63.45,2.08,1.42,6.03,28.99,73.62
2020/5/16 15:30,63.55,2.08,1.42,5.93,28.99,73.96
2020/5/16 15:40,63.4,2.08,1.42,5.95,28.89,74.83
2020/5/16 15:50,63.5,2.08,1.42,5.95,28.89,74.92
2020/5/16 16:00,63.49,2.08,1.42,6.05,28.79,74.92
2020/5/16 16:10,63.3,2.08,1.42,6.05,28.79,75.29
2020/5/16 16:20,63.25,2.08,1.42,5.94,28.89,75.46
2020/5/16 16:30,63.25,2.08,1.42,6.05,28.89,74.65
2020/5/16 16:40,63.5,2.08,1.42,6.05,28.89,73.38
2020/5/16 16:50,60.6,2.08,1.42,5.93,28.57,62.14
2020/5/16 17:00,59.2,1.98,1.31,5.67,29.02,65.06
2020/5/16 17:10,59.3,1.98,1.31,5.77,29.15,65.28
2020/5/16 17:20,59.45,1.98,1.31,6.01,29.15,63.45
2020/5/16 17:30,59,1.98,1.31,6.12,28.82,63.11
2020/5/16 17:40,59.4,1.98,1.31,5.8,29.02,63.82
2020/5/16 17:50,59.6,1.98,1.31,6.01,29.14,63.42
2020/5/16 18:00,59.95,1.98,1.31,6.12,29.14,63.16
2020/5/16 18:10,60.1,1.98,1.31,6.12,29.14,62.17
2020/5/16 18:20,60,1.98,1.31,6.11,29.04,62.42
2020/5/16 18:30,60.1,1.98,1.31,6.01,29.04,60.85
2020/5/16 18:40,59.39,1.98,1.31,6.01,28.94,60.34
2020/5/16 18:50,58.8,1.98,1.31,5.91,28.82,60.3
2020/5/16 19:00,58.65,1.98,1.31,5.91,28.82,61.04
2020/5/16 19:10,58.4,1.98,1.31,5.91,28.82,60.66
2020/5/16 19:20,58.55,1.98,1.31,5.71,29.02,61.04
2020/5/16 19:30,58.69,1.98,1.31,6.04,29.14,60.51
2020/5/16 19:40,58.65,1.98,1.31,5.94,29.24,60.84
2020/5/16 19:50,58.85,1.98,1.31,6.16,29.04,60.2
2020/5/16 20:00,58.5,1.98,1.31,6.06,28.94,59.62
2020/5/16 20:10,58.55,1.98,1.31,5.96,28.94,59.43
2020/5/16 20:20,57.95,1.98,1.31,5.96,28.94,59.37
2020/5/16 20:30,57.81,1.98,1.31,5.96,28.82,59.16
2020/5/16 20:40,57.5,1.98,1.31,5.86,28.82,59.01
2020/5/16 20:50,57.9,1.98,1.31,5.87,28.92,58.72
2020/5/16 21:00,57.9,1.98,1.31,5.97,29.02,58.64
2020/5/16 21:10,58.15,1.98,1.31,5.97,29.25,59.14
2020/5/16 21:20,57.95,1.98,1.31,6.29,29.04,58.71
2020/5/16 21:30,57.85,1.98,1.31,6.08,28.94,58.46
2020/5/16 21:40,57.95,1.98,1.31,5.86,28.92,58.33
2020/5/16 21:50,57.65,1.98,1.31,5.96,28.92,57.72
2020/5/16 22:00,57.3,1.98,1.31,5.96,28.92,57.97
2020/5/16 22:10,56.9,1.98,1.31,5.96,28.92,58.12
2020/5/16 22:20,56.7,1.98,1.31,6.07,28.72,57.99
2020/5/16 22:30,56.85,1.87,1.31,5.74,29.02,57.84
2020/5/16 22:40,56.9,1.87,1.31,5.84,29.02,58.03
2020/5/16 22:50,56.99,1.87,1.31,5.95,29.14,59.05
2020/5/16 23:00,57.05,1.87,1.31,6.15,29.04,58.28
2020/5/16 23:10,57,1.87,1.31,6.05,29.04,57.38
2020/5/16 23:20,56.85,1.87,1.31,5.95,28.94,57.24
2020/5/16 23:30,57.09,1.87,1.31,5.95,29.07,57.56
2020/5/16 23:40,56.85,1.87,1.31,5.97,28.95,57.2
2020/5/16 23:50,56.79,1.87,1.31,5.97,28.95,57.06
2020/5/17 00:00,56.5,1.87,1.31,5.97,28.85,57.18
2020/5/17 00:10,56.5,1.87,1.31,5.97,28.95,56.5
2020/5/17 00:20,56.55,1.87,1.31,5.97,28.95,56.58
2020/5/17 00:30,56.65,1.87,1.31,5.97,29.07,56.3
2020/5/17 00:40,56.6,1.87,1.31,6.08,28.96,56.04
2020/5/17 00:50,56.6,1.87,1.31,5.97,28.96,56.02
2020/5/17 01:00,56.75,1.87,1.31,6.08,28.96,56.34
2020/5/17 01:10,56.65,1.87,1.31,6.08,28.96,55.95
2020/5/17 01:20,56.65,1.87,1.31,5.97,28.96,56.15
2020/5/17 01:30,56.7,1.87,1.31,6.08,28.96,56.24
2020/5/17 01:40,56.55,1.87,1.31,6.08,28.86,56.15
2020/5/17 01:50,56.6,1.87,1.31,5.97,28.86,56.33
2020/5/17 02:00,56.8,1.87,1.31,5.85,29.07,56.56
2020/5/17 02:10,56.85,1.87,1.31,6.08,29.17,56.91
2020/5/17 02:20,56.59,1.87,1.31,6.08,28.96,57.1
2020/5/17 02:30,56.69,1.87,1.31,5.98,28.96,56.54
2020/5/17 02:40,56.6,1.87,1.31,5.98,28.86,55.49
2020/5/17 02:50,56.59,1.87,1.31,5.88,28.95,56.1
2020/5/17 03:00,56.7,1.87,1.31,5.87,29.07,56.31
2020/5/17 03:10,56.8,1.87,1.31,5.97,29.17,56.41
2020/5/17 03:20,56.65,1.87,1.31,6.09,29.07,57.45
2020/5/17 03:30,56.75,1.87,1.31,5.98,29.07,57.14
2020/5/17 03:40,56.5,1.87,1.31,5.98,29.07,57.01
2020/5/17 03:50,56.45,1.87,1.31,5.98,28.96,56.76
2020/5/17 04:00,56.45,1.87,1.31,5.98,29.07,55.32
2020/5/17 04:10,56.54,1.87,1.31,5.98,28.96,55.43
2020/5/17 04:20,56.1,1.87,1.31,5.97,28.96,55.67
2020/5/17 04:30,56.35,1.87,1.31,5.97,28.96,56.62
2020/5/17 04:40,56.35,1.87,1.31,5.97,28.96,56.73
2020/5/17 04:50,56.75,1.87,1.31,5.97,29.07,56.86
2020/5/17 05:00,57.3,1.87,1.31,6.08,29.07,57.32
2020/5/17 05:10,57.25,1.87,1.31,6.09,29.17,55.76
2020/5/17 05:20,56.6,1.87,1.31,6.1,28.96,54.98
2020/5/17 05:30,55.8,1.87,1.31,6,28.86,54.4
2020/5/17 05:40,55.29,1.87,1.31,5.9,28.86,54.6
2020/5/17 05:50,55.34,1.87,1.31,5.79,28.96,55.61
2020/5/17 06:00,55.44,1.87,1.31,6,28.96,56.89
2020/5/17 06:10,55.69,1.87,1.31,6.11,28.85,57.18
2020/5/17 06:20,56.1,1.87,1.31,6,28.95,57.24
2020/5/17 06:30,56.5,1.87,1.31,6,29.07,57.95
2020/5/17 06:40,57.3,1.87,1.31,6,29.17,60.12
2020/5/17 06:50,58.2,1.87,1.31,6.11,29.28,61.88
2020/5/17 07:00,58.4,1.87,1.31,6.33,29.18,63.29
2020/5/17 07:10,58.6,1.87,1.31,6.1,29.08,66.18
2020/5/17 07:20,59.1,1.87,1.31,5.88,29.18,67.23
2020/5/17 07:30,59.25,1.87,1.31,6.1,29.18,66.72
2020/5/17 07:40,58.99,1.87,1.31,6,28.96,66.68
2020/5/17 07:50,58.9,1.87,1.31,5.98,28.96,66.66
2020/5/17 08:00,58.85,1.87,1.31,5.87,28.96,67.9
2020/5/17 08:10,59.3,1.87,1.31,5.87,29.18,66.92
2020/5/17 08:20,58.65,1.87,1.31,6.29,28.75,67.2
2020/5/17 08:30,59.15,1.98,1.31,5.76,29.07,68.55
2020/5/17 08:40,60.05,1.98,1.31,6.06,29.07,69.79
2020/5/17 08:50,60.55,1.98,1.31,5.97,29.3,69.07
2020/5/17 09:00,60.5,1.98,1.31,6.28,28.96,70.23
2020/5/17 09:10,60.5,1.98,1.31,5.94,29.18,69.51
2020/5/17 09:20,60.4,1.98,1.31,6.18,28.96,69.26
2020/5/17 09:30,60.1,1.98,1.31,5.71,28.95,68.79
2020/5/17 09:40,59.85,1.98,1.31,5.95,28.85,69.96
2020/5/17 09:50,60.35,1.98,1.31,5.96,29.17,71.44
2020/5/17 10:00,60.5,1.98,1.31,5.96,29.17,71.01
2020/5/17 10:10,60.8,1.98,1.31,6.08,29.07,70.97
2020/5/17 10:20,60.95,1.98,1.31,6.08,29.07,70.79
2020/5/17 10:30,61.5,1.98,1.31,5.97,29.17,73.04
2020/5/17 10:40,61.55,1.98,1.31,6.19,29.07,72.61
2020/5/17 10:50,61.4,1.98,1.31,5.98,29.07,73.11
2020/5/17 11:00,61.45,1.98,1.31,5.98,29.07,72.92
2020/5/17 11:10,61.5,1.98,1.31,6.08,28.96,72.77
2020/5/17 11:20,61.25,1.98,1.31,6.08,28.73,72.02
2020/5/17 11:30,60.75,1.98,1.31,5.86,28.95,70.94
2020/5/17 11:40,60.35,1.98,1.31,5.96,28.95,70.44
2020/5/17 11:50,60.45,1.98,1.31,5.96,28.95,70.43
2020/5/17 12:00,59.8,1.98,1.31,6.08,28.75,70.05
2020/5/17 12:10,59.55,1.98,1.31,5.96,28.86,69.46
2020/5/17 12:20,59.35,1.98,1.31,5.84,28.96,68.59
2020/5/17 12:30,59.19,1.98,1.31,5.97,28.96,69.36
2020/5/17 12:40,59.35,1.98,1.31,6.09,28.86,69.71
2020/5/17 12:50,59.25,1.98,1.31,5.96,28.96,69.6
2020/5/17 13:00,59.5,1.98,1.31,5.96,29.07,70.08
2020/5/17 13:10,60.09,1.98,1.31,5.96,29.17,70.15
2020/5/17 13:20,60,1.98,1.31,6.29,29.04,69.8
2020/5/17 13:30,59.99,1.98,1.31,6.07,28.94,70.48
2020/5/17 13:40,59.99,1.98,1.31,5.95,28.94,70.41
2020/5/17 13:50,60.55,1.98,1.31,5.95,28.94,69.98
2020/5/17 14:00,60.75,1.98,1.31,6.05,28.94,69.65
2020/5/17 14:10,60.7,1.98,1.31,6.05,28.94,69.25
2020/5/17 14:20,60.5,1.98,1.31,6.05,28.94,69.03
2020/5/17 14:30,60.05,1.98,1.31,6.05,28.82,68.82
2020/5/17 14:40,60,1.98,1.31,5.82,29.02,68.65
2020/5/17 14:50,59.75,1.98,1.31,5.83,29.02,68.27
2020/5/17 15:00,59.55,1.98,1.31,5.94,29.02,68.37
2020/5/17 15:10,59.65,1.98,1.31,5.94,29.02,67.97
2020/5/17 15:20,59.75,1.98,1.31,5.94,29.24,68.1
2020/5/17 15:30,59.09,1.98,1.31,6.16,28.82,68.12
2020/5/17 15:40,59.34,1.98,1.31,5.83,28.92,68.26
2020/5/17 15:50,59.4,1.98,1.31,5.94,29.02,68.13
2020/5/17 16:00,59.8,1.98,1.31,6.04,28.92,68.37
2020/5/17 16:10,60.85,1.98,1.31,5.94,29.02,68.72
2020/5/17 16:20,62,1.98,1.31,6.14,29.02,68.99
2020/5/17 16:30,62.4,1.98,1.31,6.14,29.14,69.09
2020/5/17 16:40,61.95,1.98,1.31,6.14,29.04,68.79
2020/5/17 16:50,61.35,1.98,1.31,6.03,28.82,68.67
2020/5/17 17:00,60.7,1.98,1.31,5.82,28.82,68.86
2020/5/17 17:10,60.4,1.98,1.31,5.82,28.92,68.82
2020/5/17 17:20,60.29,1.98,1.31,5.82,28.92,68.67
2020/5/17 17:30,60.2,1.98,1.31,5.93,28.92,68.33
2020/5/17 17:40,60.4,1.98,1.31,5.92,28.82,68.38
2020/5/17 17:50,60.4,1.98,1.31,6.02,28.92,68.16
2020/5/17 18:00,60.49,1.98,1.31,6.02,29.02,67.94
2020/5/17 18:10,60.4,1.98,1.31,6.02,28.92,67.61
2020/5/17 18:20,60.35,1.98,1.31,5.99,28.92,67.58
2020/5/17 18:30,60.5,1.98,1.31,6,28.92,67.43
2020/5/17 18:40,60.5,1.98,1.31,6,28.92,67.24
2020/5/17 18:50,60.55,1.98,1.31,6,28.92,67.1
2020/5/17 19:00,60.45,1.98,1.31,6.11,28.92,66.56
2020/5/17 19:10,60.49,1.98,1.31,5.99,28.92,65.62
2020/5/17 19:20,60.25,1.98,1.31,5.98,28.82,65.05
2020/5/17 19:30,59.75,1.98,1.31,5.88,28.92,65.45
2020/5/17 19:40,59.75,1.98,1.31,5.98,28.92,66.36
2020/5/17 19:50,59.94,1.98,1.31,5.87,28.92,66.29
2020/5/17 20:00,60.4,1.98,1.31,6.08,29.02,65.59
2020/5/17 20:10,60.79,1.98,1.31,6.08,29.02,65.21
2020/5/17 20:20,61.25,1.98,1.31,6.08,29.02,65.74
2020/5/17 20:30,61.15,1.98,1.31,5.97,29.14,66.34
2020/5/17 20:40,61.15,1.98,1.31,5.97,29.14,66.17
2020/5/17 20:50,61.25,1.98,1.31,5.97,29.14,66.03
2020/5/17 21:00,61.05,1.98,1.31,5.97,29.04,65.89
2020/5/17 21:10,60.75,1.98,1.31,5.97,28.94,65.7
2020/5/17 21:20,60.4,1.98,1.31,5.97,28.94,65.59
2020/5/17 21:30,60.15,1.98,1.31,5.97,28.94,65.59
2020/5/17 21:40,60.2,1.98,1.31,5.97,28.94,65.23
2020/5/17 21:50,60.05,1.98,1.31,5.87,28.92,64.78
2020/5/17 22:00,60.1,1.98,1.31,5.97,28.92,64.7
2020/5/17 22:10,59.95,1.98,1.31,5.97,28.92,64.43
2020/5/17 22:20,60.09,1.98,1.31,5.86,29.14,64.57
2020/5/17 22:30,60.09,1.98,1.31,6.04,28.94,63.73
2020/5/17 22:40,59.95,1.98,1.31,6.04,28.94,64.32
2020/5/17 22:50,60.05,1.98,1.31,6.04,28.82,64.25
2020/5/17 23:00,60.15,1.98,1.31,5.94,28.92,63.86
2020/5/17 23:10,60.05,1.98,1.31,6.05,28.92,64.01
2020/5/17 23:20,60.19,1.98,1.31,5.95,29.02,64.47
2020/5/17 23:30,60.1,1.98,1.31,5.95,29.02,64.43
2020/5/17 23:40,60.2,1.98,1.31,5.95,29.14,64.77
2020/5/17 23:50,60.35,1.98,1.31,6.05,29.14,65.19
2020/5/18 00:00,60.5,1.98,1.31,6.06,29.14,65.52
2020/5/18 00:10,60.4,1.98,1.31,5.95,29.14,65.89
2020/5/18 00:20,60.7,1.98,1.31,5.95,29.14,66.57
2020/5/18 00:30,60.85,1.98,1.31,6.05,29.04,66.38
2020/5/18 00:40,61,1.98,1.31,6.13,29.04,66.42
2020/5/18 00:50,60.95,1.98,1.31,6.03,29.04,67.42
2020/5/18 01:00,61.1,1.98,1.31,6.03,29.04,67.32
2020/5/18 01:10,60.85,1.98,1.31,6.23,28.72,66.91
2020/5/18 01:20,61,1.98,1.31,5.68,29.14,66.58
2020/5/18 01:30,61.6,1.98,1.31,6,29.24,66.73
2020/5/18 01:40,61.2,1.98,1.31,6.12,29.04,66.84
2020/5/18 01:50,60.9,1.98,1.31,6.12,28.82,66.74
2020/5/18 02:00,60.25,1.98,1.31,5.92,28.82,66.78
2020/5/18 02:10,60.15,1.98,1.31,5.82,28.92,67.03
2020/5/18 02:20,59.99,1.98,1.31,5.82,29.14,66.67
2020/5/18 02:30,59.8,1.98,1.31,6.03,29.04,66.28
2020/5/18 02:40,60.15,1.98,1.31,5.91,29.14,66.22
2020/5/18 02:50,60.09,1.98,1.31,6.12,29.04,65.79
2020/5/18 03:00,60.09,1.98,1.31,6.01,29.04,65.34
2020/5/18 03:10,59.81,1.98,1.31,5.9,28.82,65.16
2020/5/18 03:20,59.95,1.98,1.31,5.9,28.92,64.93
2020/5/18 03:30,59.85,1.98,1.31,6.01,28.92,64.55
2020/5/18 03:40,59.9,1.98,1.31,6.01,28.92,64.41
2020/5/18 03:50,59.6,1.98,1.31,5.99,28.82,64.81
2020/5/18 04:00,59.65,1.98,1.31,6,28.92,64.78
2020/5/18 04:10,59.5,1.98,1.31,6.1,28.82,64.94
2020/5/18 04:20,59.7,1.98,1.31,5.89,29.02,64.67
2020/5/18 04:30,59.69,1.98,1.31,6,29.14,64.57
2020/5/18 04:40,59.99,1.98,1.31,6.12,29.04,64.85
2020/5/18 04:50,59.85,1.98,1.31,5.9,29.04,64.49
2020/5/18 05:00,59.79,1.98,1.31,5.9,29.14,64.26
2020/5/18 05:10,59.15,1.98,1.31,6.11,28.94,63.45
2020/5/18 05:20,58.55,1.98,1.31,6.01,28.82,63.61
2020/5/18 05:30,58.35,1.98,1.31,5.77,28.92,63.48
2020/5/18 05:40,58.45,1.98,1.31,5.97,28.92,63.88
2020/5/18 05:50,58.4,1.98,1.31,5.97,29.02,64.19
2020/5/18 06:00,59.3,1.98,1.31,5.84,29.28,63.79
2020/5/18 06:10,59.5,1.98,1.31,6.28,29.08,63.89
2020/5/18 06:20,59.35,1.98,1.31,6.17,28.96,63.99
2020/5/18 06:30,59.49,1.98,1.31,6.07,28.86,64.42
2020/5/18 06:40,59.45,1.98,1.31,5.74,29.07,64.03
2020/5/18 06:50,59.65,1.98,1.31,5.84,29.17,63.93
2020/5/18 07:00,59.4,1.98,1.31,6.17,29.08,64.23
2020/5/18 07:10,59.2,1.98,1.31,6.06,28.96,65.61
2020/5/18 07:20,58.85,1.98,1.31,6.06,28.75,66.41
2020/5/18 07:30,59,1.98,1.31,5.82,28.99,67.07
2020/5/18 07:40,59.09,1.98,1.31,5.94,29.21,66.49
2020/5/18 07:50,59.2,1.98,1.31,6.05,29.11,66.71
2020/5/18 08:00,59.05,1.98,1.31,6.05,29.01,67.05
2020/5/18 08:10,59.15,1.98,1.31,5.84,29.09,67.41
2020/5/18 08:20,59.85,1.98,1.31,5.93,29.22,68.3
2020/5/18 08:30,60.1,1.98,1.31,6.28,29.01,68.49
2020/5/18 08:40,60.5,1.98,1.31,6.06,29.01,67.11
2020/5/18 08:50,61.05,1.98,1.31,5.81,29.15,66.75
2020/5/18 09:00,60.81,1.98,1.31,6.13,29.04,68.07
2020/5/18 09:10,60.5,1.98,1.31,6.03,28.82,67.92
2020/5/18 09:20,59.8,1.98,1.31,6.03,28.57,66.97
2020/5/18 09:30,59.44,1.98,1.31,5.82,28.89,64.48
2020/5/18 09:40,57.34,1.98,1.31,5.84,28.67,62.03
2020/5/18 09:50,56.8,1.87,1.31,5.59,29.11,62.13
2020/5/18 10:00,57.44,1.87,1.31,6.07,29.33,62.5
2020/5/18 10:10,57.05,1.87,1.31,6.22,28.89,63.43
2020/5/18 10:20,57.69,1.87,1.31,5.87,28.99,64.47
2020/5/18 10:30,58.25,1.87,1.31,5.96,28.99,65.92
2020/5/18 10:40,58.6,1.87,1.31,6.06,29.09,66.36
2020/5/18 10:50,59,1.87,1.31,5.96,29.31,66.84
2020/5/18 11:00,58.9,1.87,1.31,6.18,29.08,66.9
2020/5/18 11:10,58.85,1.87,1.31,6.29,28.96,66.41
2020/5/18 11:20,58.2,1.87,1.31,6.07,28.65,64.72
2020/5/18 11:30,58,1.87,1.31,5.74,28.86,65.1
2020/5/18 11:40,58.19,1.87,1.31,5.84,28.96,66.74
2020/5/18 11:50,58.19,1.87,1.31,5.82,29.28,66.1
2020/5/18 12:00,58.35,1.87,1.31,6.25,29.17,66.07
2020/5/18 12:10,58.05,1.87,1.31,5.92,29.07,66.66
2020/5/18 12:20,58.74,1.87,1.31,6.16,29.18,66.9
2020/5/18 12:30,58.75,1.87,1.31,6.38,28.85,66.55
2020/5/18 12:40,58.8,1.87,1.31,6.05,28.75,66.04
2020/5/18 12:50,58.75,1.98,1.31,5.6,29.08,66.69
2020/5/18 13:00,59.15,1.98,1.31,6.08,29.18,67.11
2020/5/18 13:10,59.31,1.98,1.31,6.08,29.08,67.71
2020/5/18 13:20,60.5,1.98,1.31,5.88,29.38,67.69
2020/5/18 13:30,60.15,1.98,1.31,6.1,29.18,67.58
2020/5/18 13:40,59.75,1.98,1.31,6.12,28.86,67.92
2020/5/18 13:50,59.45,1.98,1.31,6.02,28.75,68.59
2020/5/18 14:00,59.15,1.98,1.31,5.69,28.96,68.2
2020/5/18 14:10,59.15,1.98,1.31,5.92,28.96,68.94
2020/5/18 14:20,59.9,1.98,1.31,6.12,29.3,68.55
2020/5/18 14:30,59.4,1.98,1.31,6.23,28.96,68.3
2020/5/18 14:40,59.4,1.98,1.31,6.13,28.86,67.88
2020/5/18 14:50,59.25,1.98,1.31,5.81,28.86,68.15
2020/5/18 15:00,59.6,1.98,1.31,6.02,28.86,68.09
2020/5/18 15:10,59.75,1.98,1.31,6.12,28.86,68.1
2020/5/18 15:20,59.81,1.98,1.31,6.02,28.99,68.07
2020/5/18 15:30,59.9,1.98,1.31,5.92,28.89,67.96
2020/5/18 15:40,60.1,1.98,1.31,6.02,28.99,67.9
2020/5/18 15:50,60.1,1.98,1.31,6.02,28.99,67.5
2020/5/18 16:00,60.25,1.98,1.31,6.02,28.99,68.25
2020/5/18 16:10,60.3,1.98,1.31,6.02,28.99,68.51
2020/5/18 16:20,60.65,1.98,1.31,6.02,29.09,68.92
2020/5/18 16:30,60.95,1.98,1.31,6.02,29.09,69.03
2020/5/18 16:40,61.4,1.98,1.31,6.23,28.99,69.73
2020/5/18 16:50,62.15,1.98,1.31,6.02,29.09,70.16
2020/5/18 17:00,62,1.98,1.41,6.25,28.78,68.02
2020/5/18 17:10,60.95,1.98,1.41,5.84,28.88,67.78
2020/5/18 17:20,60.25,1.98,1.3,5.83,28.88,67.28
2020/5/18 17:30,59.6,1.98,1.3,5.83,28.99,67.25
2020/5/18 17:40,59.29,1.98,1.3,5.94,28.89,66.16
2020/5/18 17:50,59.15,1.98,1.3,5.95,28.89,65.85
2020/5/18 18:00,59.1,1.98,1.3,5.84,28.92,65.62
2020/5/18 18:10,58.3,1.98,1.3,5.95,28.92,63.93
2020/5/18 18:20,58.69,1.98,1.3,5.71,29.47,63.44
2020/5/18 18:30,58.44,1.98,1.3,6.37,29.04,61.78
2020/5/18 18:40,57.55,1.98,1.3,6.12,28.8,60.6
2020/5/18 18:50,56.79,1.98,1.3,5.81,28.7,57.78
2020/5/18 19:00,56.4,1.98,1.3,5.71,28.8,56.53
2020/5/18 19:10,55.65,1.87,1.3,5.91,28.67,57.05
2020/5/18 19:20,56.05,1.87,1.3,5.92,28.88,57.74
2020/5/18 19:30,55.95,1.87,1.3,5.92,28.99,58.55
2020/5/18 19:40,56.15,1.87,1.3,5.92,29.21,58.6
2020/5/18 19:50,56.55,1.87,1.3,6.14,29.31,58.71
2020/5/18 20:00,56.15,1.87,1.3,6.13,29.07,58.8
2020/5/18 20:10,56.1,1.87,1.3,6.02,29.07,59.19
2020/5/18 20:20,56.2,1.87,1.3,5.92,29.07,59.11
2020/5/18 20:30,56.25,1.87,1.3,6.03,29.17,59.61
2020/5/18 20:40,56.4,1.87,1.3,6.03,29.07,60.05
2020/5/18 20:50,56.81,1.87,1.3,5.93,29.17,59.68
2020/5/18 21:00,56.69,1.87,1.3,6.03,29.07,58.5
2020/5/18 21:10,56.44,1.87,1.3,5.92,29.07,58.45
2020/5/18 21:20,56.4,1.87,1.3,6.05,28.86,58.2
2020/5/18 21:30,56.35,1.87,1.3,5.95,28.86,58.28
2020/5/18 21:40,56.5,1.87,1.3,5.85,29.07,58.27
2020/5/18 21:50,56.6,1.87,1.3,6.06,28.96,58.31
2020/5/18 22:00,56.55,1.87,1.3,6.06,28.96,58.22
2020/5/18 22:10,56.65,1.87,1.3,6.11,28.95,58.26
2020/5/18 22:20,56.55,1.87,1.3,5.91,28.95,58.27
